from	from_color	to	to_color
1928 Lithuania	skyblue	1928 Lithuania_Art.98 (2)	skyblue
1928 Lithuania	skyblue	1928 Lithuania_Art.99 (2)	skyblue
Foreign Legislation	black	1929 Ecuador	paleturquoise
1929 Ecuador	paleturquoise	1929 Ecuador_Art.151 (14)	paleturquoise
Foreign Legislation	black	1931 Spain	plum
1931 Spain	plum	1931 Spain_Art.46	plum
1931 Spain	plum	1931 Spain_Art.46 (2)	plum
Foreign Legislation	black	1931 Yugoslavia	pink
1931 Yugoslavia	pink	1931 Yugoslavia_Art.117 (4)	pink
1931 Yugoslavia	pink	1931 Yugoslavia_Art.22	pink
1931 Yugoslavia	pink	1931 Yugoslavia_Art.23	pink
1931 Yugoslavia	pink	1931 Yugoslavia_Art.24	pink
1931 Yugoslavia	pink	1931 Yugoslavia_Art.31	pink
1931 Yugoslavia	pink	1931 Yugoslavia_Art.33	pink
Foreign Legislation	black	1933 Peru	mediumpurple
1933 Peru	mediumpurple	1933 Peru_Art.42	mediumpurple
1933 Peru	mediumpurple	1933 Peru_Art.43	mediumpurple
1933 Peru	mediumpurple	1933 Peru_Art.44	mediumpurple
1933 Peru	mediumpurple	1933 Peru_Art.45	mediumpurple
1933 Peru	mediumpurple	1933 Peru_Art.46	mediumpurple
Foreign Legislation	black	1933 Portugal	mediumorchid
1933 Portugal	mediumorchid	1933 Portugal_Art.49	mediumorchid
Foreign Legislation	black	1936 Soviet Union	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Art.118	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Art.119	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Art.120	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Art.122 (2)	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Art.125	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Art.126	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Art.7	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Art.9	deeppink
1936 Soviet Union	deeppink	1936 Soviet Union_Chapter one	deeppink
Draft Articles	black	1923 China Draft	black
Draft Articles	black	1936 China Draft	black
1923 China Draft	black	Draft 1923_Art.1	darkgreen
1923 China Draft	black	Draft 1923_Art.2 (1)	darkgreen
1923 China Draft	black	Draft 1923_Art.2 (2)	darkgreen
1923 China Draft	black	Draft 1923_Art.2 (3)	darkgreen
1923 China Draft	black	Draft 1923_Art.2 (4)	darkgreen
1923 China Draft	black	Draft 1923_Art.3 (1)	darkgreen
1923 China Draft	black	Draft 1923_Art.3 (2)	darkgreen
1923 China Draft	black	Draft 1923_Art.3 (3)	darkgreen
1923 China Draft	black	Draft 1923_Art.4	darkgreen
1923 China Draft	black	Draft 1923_Art.5	darkgreen
1923 China Draft	black	Draft 1923_Art.6	darkgreen
1923 China Draft	black	Draft 1923_Art.7	darkgreen
1936 China Draft	black	Draft 1936_Art.116	firebrick
1936 China Draft	black	Draft 1936_Art.117	firebrick
1936 China Draft	black	Draft 1936_Art.118	firebrick
1936 China Draft	black	Draft 1936_Art.119	firebrick
1936 China Draft	black	Draft 1936_Art.120	firebrick
1936 China Draft	black	Draft 1936_Art.121	firebrick
1936 China Draft	black	Draft 1936_Art.122	firebrick
1936 China Draft	black	Draft 1936_Art.123	firebrick
1936 China Draft	black	Draft 1936_Art.124	firebrick
1936 China Draft	black	Draft 1936_Art.125	firebrick
1936 China Draft	black	Draft 1936_Art.126	firebrick
1936 China Draft	black	Draft 1936_Art.127	firebrick
1936 China Draft	black	Draft 1936_Art.128	firebrick
1936 China Draft	black	Draft 1936_Introduction	firebrick
